,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,"('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')"
11,"('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')"
12,"('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')"
13,"('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')"
14,"('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')"
15,"('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Los Angeles Lakers', 1610612747, 'LAL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')"
16,"('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Vancouver Grizzlies', 1610612763, 'VAN')","('Memphis Grizzlies', 1610612763, 'MEM')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Memphis Grizzlies', 1610612763, 'MEM')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Minnesota Timberwolves', 1610612750, 'MIN')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')"
17,"('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Charlotte Hornets', 1610612766, 'CHA')","('Charlotte Hornets', 1610612766, 'CHA')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Charlotte Hornets', 1610612766, 'CHA')","('Charlotte Hornets', 1610612766, 'CHA')"
18,"('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('New Orleans/Oklahoma City Hornets', 1610612740, 'NOK')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Charlotte Hornets', 1610612766, 'CHA')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')"
19,"('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')"
20,"('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('San Antonio Spurs', 1610612759, 'SAS')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')"
