aw_DREB%,aw_OREB%,aw_free_throws,aw_shooting,aw_turnovers,hm_DREB%,hm_OREB%,hm_free_throws,hm_shooting,hm_turnovers,result
0.10840000000000001,0.0486,0.26058374967131215,0.4747567709702866,0.139,0.123,0.0512,0.24084975684668544,0.5226516508830304,0.14200000000000002,1
0.1354636363636364,0.06381818181818182,0.20286933973480686,0.48947493573992507,0.16831818181818184,0.1242,0.0522,0.27035175879396983,0.5089195979899498,0.178,1
0.11679999999999999,0.056400000000000006,0.2074154852780807,0.46226826608506,0.14500000000000002,0.11076190476190477,0.04846666666666667,0.23890547085842967,0.4939411270576039,0.14595238095238094,0
0.11040000000000001,0.05820000000000001,0.23076923076923078,0.47730138713745274,0.14100000000000001,0.135,0.05700000000000001,0.38713286713286715,0.5244755244755245,0.16599999999999998,1
0.14908181818181818,0.05700000000000001,0.24512910709141358,0.4934877867572362,0.16204545454545458,0.12259999999999997,0.06080000000000001,0.30578512396694213,0.5351239669421488,0.161,1
0.1364,0.0412,0.23208191126279865,0.4754997562164798,0.15,0.1304,0.06060000000000001,0.2588720770288858,0.5024759284731775,0.163,0
0.13188181818181816,0.05966363636363638,0.19863104491281347,0.4711386669558826,0.1352727272727273,0.1496,0.07300000000000001,0.22885032537960953,0.5086767895878525,0.168,1
0.123,0.0388,0.23652070300863867,0.488978254393804,0.19000000000000003,0.13340000000000002,0.0664,0.23506217773733698,0.4827115559599636,0.162,1
0.1352,0.05940000000000001,0.25567918405192397,0.4910755679184052,0.176,0.1336,0.06839999999999999,0.27432848965213563,0.4743505063848525,0.163,1
0.12360000000000002,0.0716,0.2680925871667155,0.4925285672428948,0.168,0.1222,0.041,0.25141713904634877,0.4626542180726909,0.164,0
0.1333818181818182,0.05701818181818182,0.21825259515570936,0.47429560059317843,0.16236363636363638,0.12155454545454547,0.05471818181818182,0.17942600519261806,0.4499433623705605,0.17304545454545456,0
0.1356,0.055400000000000005,0.21781021897810218,0.47927007299270075,0.176,0.12079999999999999,0.052000000000000005,0.24208566108007448,0.4898909284384145,0.15,0
0.11679999999999999,0.056400000000000006,0.2074154852780807,0.46226826608506,0.14500000000000002,0.1242,0.0522,0.27035175879396983,0.5089195979899498,0.178,1
0.13340000000000002,0.0664,0.23506217773733698,0.4827115559599636,0.162,0.12360000000000002,0.0716,0.2680925871667155,0.4925285672428948,0.168,1
0.11100000000000002,0.06720000000000001,0.2888222055513878,0.4563640910227557,0.14800000000000002,0.1336,0.06839999999999999,0.27432848965213563,0.4743505063848525,0.163,1
0.142,0.06420000000000001,0.24244657332350775,0.48931466470154755,0.18200000000000002,0.1222,0.041,0.25141713904634877,0.4626542180726909,0.164,0
0.1352,0.05940000000000001,0.25567918405192397,0.4910755679184052,0.176,0.13035454545454545,0.05451818181818182,0.19232296129994936,0.4479048310038467,0.16804545454545455,1
0.14908181818181818,0.05700000000000001,0.24512910709141358,0.4934877867572362,0.16204545454545458,0.11699999999999999,0.06080000000000001,0.24867228990940332,0.4592314901593252,0.166,0
0.1333818181818182,0.06001818181818182,0.21139672010318777,0.4621491308887661,0.15236363636363637,0.11000000000000001,0.0528,0.2686762778505898,0.4695281782437746,0.15400000000000003,1
0.1336,0.06839999999999999,0.27432848965213563,0.4743505063848525,0.163,0.1332,0.0786,0.25914994096812277,0.4592680047225502,0.132,1
0.135,0.05700000000000001,0.38713286713286715,0.5244755244755245,0.16599999999999998,0.12259999999999997,0.06080000000000001,0.30578512396694213,0.5351239669421488,0.161,0
0.1304,0.06060000000000001,0.2588720770288858,0.5024759284731775,0.163,0.123,0.0388,0.23652070300863867,0.488978254393804,0.19000000000000003,0
0.13528181818181817,0.06664545454545455,0.27811258731680594,0.487186686755239,0.15522727272727274,0.1354636363636364,0.06381818181818182,0.20286933973480686,0.48947493573992507,0.16831818181818184,1
