1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Charlotte Bobcats', 1610612766, 'CHA')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Charlotte Bobcats', 1610612766, 'CHA')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Miami Heat', 1610612748, 'MIA')","('Oklahoma City Thunder', 1610612760, 'OKC')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')"
"('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('Dallas Mavericks', 1610612742, 'DAL')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('Charlotte Bobcats', 1610612766, 'CHA')","('Atlanta Hawks', 1610612737, 'ATL')","('Miami Heat', 1610612748, 'MIA')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')","('Atlanta Hawks', 1610612737, 'ATL')"
"('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Charlotte Bobcats', 1610612766, 'CHA')","('Atlanta Hawks', 1610612737, 'ATL')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')","('LA Clippers', 1610612746, 'LAC')"
"('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Houston Rockets', 1610612745, 'HOU')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')"
"('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Charlotte Hornets', 1610612766, 'CHH')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')"
"('Charlotte Hornets', 1610612766, 'CHH')","('Charlotte Hornets', 1610612766, 'CHH')","('Charlotte Hornets', 1610612766, 'CHH')","('Charlotte Hornets', 1610612766, 'CHH')","('Sacramento Kings', 1610612758, 'SAC')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Sacramento Kings', 1610612758, 'SAC')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Sacramento Kings', 1610612758, 'SAC')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Houston Rockets', 1610612745, 'HOU')"
"('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Toronto Raptors', 1610612761, 'TOR')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('Toronto Raptors', 1610612761, 'TOR')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Toronto Raptors', 1610612761, 'TOR')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Brooklyn Nets', 1610612751, 'BKN')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Houston Rockets', 1610612745, 'HOU')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')"
"('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('New Orleans Hornets', 1610612740, 'NOH')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('New Orleans Hornets', 1610612740, 'NOH')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Sacramento Kings', 1610612758, 'SAC')","('Brooklyn Nets', 1610612751, 'BKN')","('Brooklyn Nets', 1610612751, 'BKN')","('Brooklyn Nets', 1610612751, 'BKN')","('Brooklyn Nets', 1610612751, 'BKN')","('Brooklyn Nets', 1610612751, 'BKN')","('Brooklyn Nets', 1610612751, 'BKN')"
"('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('Toronto Raptors', 1610612761, 'TOR')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')","('Sacramento Kings', 1610612758, 'SAC')"
"('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('New Orleans Hornets', 1610612740, 'NOH')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')"
