1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"('Phoenix Suns', 1610612756, 'PHX')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Seattle SuperSonics', 1610612760, 'SEA')","('Washington Wizards', 1610612764, 'WAS')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Seattle SuperSonics', 1610612760, 'SEA')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')"
"('Seattle SuperSonics', 1610612760, 'SEA')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Seattle SuperSonics', 1610612760, 'SEA')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')"
"('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Washington Wizards', 1610612764, 'WAS')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')","('Washington Wizards', 1610612764, 'WAS')"
"('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')","('Memphis Grizzlies', 1610612763, 'MEM')"
"('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')"
"('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')","('Golden State Warriors', 1610612744, 'GSW')"
"('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')","('Cleveland Cavaliers', 1610612739, 'CLE')"
"('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')"
"('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')","('San Antonio Spurs', 1610612759, 'SAS')"
,,,,,,,"('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')"
